Batman vs Superman	batman vs superman 
It is about a nearly impossible evacuation , and you see all three types of assistance - naval , air , and land	यह एक nearly impossible evacuation के बारे में है , और आपको तीनों type की assistance देखने को मिलते हैं - naval , air और land 
It is based on what truly happened at dunkirk , right ?	यह dunkirk में असल में क्या हुआ था उस पर आधारित है , right 
Yes . It is very true to the story .	Yes . या true story के बहुत नजदीक है 
I am always hesitant to see very real war related movies .	मैं हमेशा hesitant था असली war related movies को लेकर . 
It is a lot to handle .	इसमें बहुत कुच handle करना है . 
There are a few characters who get names , like Mr . Dawson and his sons Peter and George , who set out on a boat to help , but few characters who get followed throughout	उसमें कोच character हैं जिसेनाम मिले हैं जैसे MR.Dawson और उसका बेटा Peter और George जो boat निकाल कर help करने गये और सब character just उनको follow किए . 
So very different from nolan's batman .	इसलिए यह बहुत अलग है nolan's batman से . 
Very much so . While it seems Dunkirk may have been a technical success , you do not walk away feeling like it	हाँ सही हैं.लग रहा है Dunkirk शायद technically success है , तुम यह मान कर walk way नहीं कर सकते.को 
Any known actors in dunkirk ?	कोई known actor हैं क्या dunkrik में ? 
There is commander Bolton , who confirms that the 300,000 have been evacuated . It was ten times more than had been hoped for	Commander Bolton ने confirm किया कि 300,000 evacuate कर चुकी है जोकि 10 times ज्यादा है जितना होने उम्मीद की थी . 
Who plays him ?	कौन उसे खिला रहा है ? 
Mr Dawson gets acknowledgement for having saved so many men	Mr Dawson को acknowledgement मिले इतने लोगों को save करने के लिए . 
Hmmm .. That I do not know	Hm .. मुझे ये पता नहीं था . 
These names are unknown to me .	यह name मेरे लिए unknown है . 
Ahh , I do see it here . Does Aneurin Barnard ring a bell ?	Ahh , मैं इसे यहाँ देखता हूँ . क्या Aneurin barnard एक घंटी बजाता है ? 
Hmm , no .	hmm , नहीं 
I am surprised there is no big name star .	मुझे surprise है कि कोई बड़ा नाम सितारे नहीं हैं . 
I'm looking at the list of the biggest roles , and they are not stars . But that goes with the anonymity of all of the characters really	में सबसे बड़ी भूमिकाओं की सूची देख रहा हूँ , और वे सितारे नहीं हैं . लेकिन यह वास्तव में सभी characters की गुमनामी के साथ जाता है 
Maybe it is a comment on war itself .	शायद यह युद्ध पर ही एक टिप्पणी है . 
Hehe , I see it of course ends with an article being read , written by Churchill .	हे , मैं देखता हूं कि यह churchill द्वारा लिखा गया एक लेख पढ़ा जा रहा है . 
So many movies and shows involving Churchill lately !	बहुत सारे movies और shows में churchill हाल ही में शामिल ! 
Interesting .	interesting ( दिलचस्प ) 
yes it does seem that way .	हां , ऐसा लगता है . 
I guess you have to watch dunkirk than darkest hour .	मुझे लगता है कि आपको darkest hour की तुलना में dunkirk देखना होगा . 
HI there ! Have you ever seen this ?	सुनो ज़रा . क्या तुमने इसे देखा है ? 
Hey ! Yeah I have but it was a LONG time ago	Hey . हं , पर बहुत time पहले . 
what about you	तुम क्या कहते हो ? 
It was a long time ago for me too , but I remember because all the dark knight movies came out afterwards	मैं भी कहीं साल के पहले देखा हूँ , कुछ कुछ तो याद हैं क्यों कि सभी dark knight movies ऐसे ही आते हैं 
though they took forever to make those ones ... or at least waited forever	कुछ तो ऐसे ही बना देती है और कुछ तो wait करते अछे movies के लिए 
I personally liked the dark knight movies way more	मैं personally इस dark knight movies को पसंद करता 
especially the first one	especially वह first one को 
yeah , they didnt do a very good job of connecting the storylines	हां , वह तो storyline से connect करने में इतना अछे job नहीं करते 
and christian bale wasnt my fav batman either	और christian bale तो मेरा batman का पाव भी नहीं हैं 
i don't think too many people like him as batman honestly	मुझे नहीं लगता कि काफी लोगों इस लिए batman को पसंद हैं 
The voice he made was almost comical	voice वह दिया तो almost comical था 
the best part is he tried so hard on that voice too	best part voice ही है 
hahaha I know	ha हा हा मुझे पता हैं 
but i cant talk too much because i always get flack for like ben affleck	but मैं इसके बारे में ज्यादा बात नहीं कर सकती because मेरे हमेशा मजाक बनाया जाता है बेन affleck को पसंद करने के लिए 
liking *	liking 
affleck > bale	affleck > bale 
YAS someone agrees haha	Yes कोई तो agree हू haha 
what about tom hardy in the new ones ?	tom hardy के बारे में क्या ख्याल नए वाले में ? 
I'd say he did better than both of them	मैं कहूँगा उसने दोनों से बहुत बेहतर किया 
I agree ! ! !	I agree ! ! ! 
its been years but i still can't get over heath ledgers acting as the joker	बहुत साल हो गए पर मैं अभी हैट ledgers कोई joker के रूप में acting को नहीं भूल पाया हूँ 
that was some next level stuff	वह सच में next level का stuff था 
Agreed . It took a lot of good ating to be as good in the role as jack nicholson	agreed . बहुत सारी good acting लगी होगी role में jack nicholson के जितने बेहतर करने के लिए 
oh jeez my typing is awful today . acting *	oh jeez मेरे taking awful है today . acting 
lol you're fine	lol आप ठीक हो 
im not used to typing without emojis	में used तो नहीं हूँ ईमोजी के बिना type करने के 
#firstworldproblems	#firstworldproblems 
oh yeah me too . too much texting	oh yes me too . बहुत ज्यादा testing है यह 
you know who i did love in these movies tho ?	you know वैसे मैं in movies में किसको पसंद करती हूँ 
who ?	कौन ? 
MICHAEL CAINE	MICHAEL CAINE 
TRUEEEEEE	सच्ची 
He does so well as alfred :'D	वाह बहुत बढ़िया करता alfred के रूप में 
you can't not like him	तुम use like नहीं कर सकते 
mhmm . good in children of men too	महिम . में के children में भी अच्छा है 
Didn't he have a cameo in one of the recent superhero movies ?	recent कोई superhero movies में उसका cameo नहीं था . 
Or am i thinking of someone else /	और मैं किसी और के बारे में सोच रहा हूँ . 
michael caine ?	michael caine ? 
yea	हां 
oh god there are so many superhero movies now that i really couldnt tell you	oh god यंहा पर अब बहुत सी superhero movies , जिसे मैं सच में नहीं बता सकता 
good point lmao	अच्छा point इमाओ 
u wanna know one superhero movie that im REALLY excited for	क्या तुम जानना चाहोगे कोई superhero movie के बारे में जिसके लिए मैं really excited हूं . 
whats that	यह क्या 
THE INCREDIBLES 2 ! ! !	Do incredible ! ! ! 
k I just talked about this yesterday	कि मैंने कल ही बात कियाता 
I've waited for soooooo loooooong	मैंने बहुत देर से wait किया था 
i am so excited and its taking way too long	मैं इतना excited हों और यह इतना time लहरहाई 
yes !	हाँ ! 
i will push children out of the way to watch it	मैं बच्चोको out of the way push करूंगा इस watch करने केलिए 
right at the end of the movie , we were like when is the next ... ten years later ... haha	Movie खत्म होते हैं , we were like next कब है ... 10 साल के बाद ... haha 
hahahaha	hahahaha 
I think we are allowed to end our convo now ?	मुझे लगता है हम अपना convoy end कर देना चाहिए ? 
I have no idea honestly	Sachimain मुझे कोई idea नहीं है 
Haha well Im gonna see , it was lovely chatting ! ! ! have a great day !	haha मैने देखूंगी , ई तो प्यारे chatting है ! ! ! आप को शुभ दिन होगा आज ! 
hello , are you familiar with how to do this task ?	hello , क्या तुम इस task के बारे में जानते हो ? 
YES	हां 
I've done a few	मैं कुछ कर चुका हूँ 
okay . i have yet to do one . trying to figure this out	ok , but मेरा एक बाकी है . में figure out करने की कोशिश कर रहा हूँ . 
Just discuss the content , make statements etc about whhat we see now , then when the new paragraph gets added talk about that , supposedly it refreshes after we exchange X amount of messages .	अभी content , हमने जो अभी देखा उसके बारे में discuss किया , और तब एक नया paragraph add किया , मान लो यहाँ refresh हो जाता है जब हम x amount of messages एक्सएंज किया 
Well it has Leo DiCaprio in it so it's probably good lol .	Well इसमें लियो DiCaprio है और यहां अच्छा lol है . 
YEah , tom hardy as Eames is prolly really different . I always remember him from batman	हां , tom hardy Eames में बहुत different लग रहा है . मुझे वहां batman से याद है . 
Cool concept with them having to infiltrate a persons subconscious .	उनके पास किसी आदमी के subconscious में infiltrate करने का cool concept है 
I agree , his character seems similar to the one he played in catch me if you can	मैं सहमत हूँ उसका character Catch me if you can में character जैसा है 
yes indeed	हाँ शायद 
It's really interesting that ellen page is recruited to construct dreamscapes	यह really बहुत interesting है कि ellen पेज को dreamscapes construct करने के लिए recruit किया है 
got a pretty good rating	बहुत बढ़िया rating मिली है 
Taking someone into a shared dream , not that's a cool concept .	किसी को अपनी shared dream में ले जाना , क्या यह cool concept नहीं है . 
yeah , 86 percent . i like most cristopher nolan movies . especially batman	yes , 86 percent . मुझे cristopher nolan की सभी movies पसंद है , especially batman 
yes he is quite talented .	yes , वह सच में बहुत talented हैं . 
yeah , it really is . i have liked almost all of nolans movies .	yes , यह really है . मैंने nolan की almost सभी movies को पसंद किया है 
Very unique story line they have here . Scene No . 1 really sets the stage andbuilds interest	बहुत unique story line है उनकी यहाँ पर . Scene no . 1 to really stage set कर देता है और interest बढ़ा देता है 
yeah , being attacked by projections seems neat	yes , projections की बस पे attack करना काफी neat दिखाता है 
Dream sharing technology ... fifty years in a dream . wow	Dream sharing technology , एक dream me fifty years . wow 
yeah , shifting realities are so fascinating	yes , shifting realities बहुत fascinating हैं 
for sure	sure है 
sending into limbo , not quite grasping that in the scene paragraph	limbo में भेजना , उस scene paragraph में quit grasping नहीं है 
multi level dreams also , different dimensions . all seem like they could happen	multi level dreams भी , अलग dimensions . सभी seems like की really हो सकी है 
yeah you are right	yeah तुम right हो . 
sucks they framed cobb for her death in scene 2	sucks , have scene 2 में cobb को उसकी death के लिए frame कर देती है 
Yeah , makes it interesting though	yeah , यद्यपि इस interesting बनाता है 
At least he made peace with it ( Cobb )	at least उसने इससे peace to establish किया ( Cobb ) 
yeah , facing a murder charge , woah	ha , murder charge face हर रहा है , उप 
why do you think he joins his children in the garden ?	तुम्हारे क्या विचार है , वह garden में अपने children को join करता है ? 
not sure	sure नहीं हूँ 
any ideas ?	कोई ideas ? 
try to escape the dreams , prove he is in the real world to himself	dreams से escape करने की कोशिश करो , prove करो अपने को को वह real world में है 
oh yes	oh हाँ 
of course	जरूर 
crazy they all awake on the plane . sounds like such a neat movie	crazy की वो सब plane me awake the . लगता है neat movie है 
Must see	ज़रूर देखना 
yeah , science is a great genre . especially ones with these kinds of scenes and depth	हां , since एक great genre hai.especially ऐसे scenes और depth 
Had to use a spinning top to figure out reality vs dream	spinning top use करना पड़े figure out करने के लिए ली यह reality है यह dream 
yeah , such a cool concept	हां , cool concept है 
probably will watch it tonight now lol	शायद आज रात watch करूंगा अभी lol 
me also . i cant really remember it	मैं भी . मुझे भी अच्छे से याद नहीं वो 
Hi	है 
hey !	है 
Have you seen " Real steel " ?	real को देखा ? 
A 2011 movie	2011 का movie हैं 
not yet , am intrested to watch ..	नहीं यार , 
if am able to get some details ..	अगर मुझे कुछ details उसके बारे में मिले ताओ 
Ok , let me run you through the cast	ok . , तो cast के बारे में देखेंगे 
ok ...	अच्छा 
It stars the following people , Hugh Jackman , Evangeline Lilly , Olga Fonda among others	यह following लोगों को star करती है Hugh Jackman , Evangeline Lilly , Olga Fonda बाकियो के साथ 
It is more of Science / Sport movie	यह Science / Sport movie ज्यादा है 
oh ... ok	oh ... ok 
by hearing thecast , it looks	cast के बारे में सुनके , लगता है 
intresting ...	interesting ... 
It is based on the story " steel " written by Richard Matheson	यह Richard Matheson की लिखी " steel " story पे based है 
basically what kind of movie it is	basically यह किस तरह की movie है 
and it was directed by Shawn Levy	और ये Shawn Levy ने direct की 
oh ... k	oh ... कि 
sp orts genre	sports genre 
i heard it is a robotic movie ... i sit so ?	मैं ने सुना कि यह robotic movie है ... है क्या ? 
kind of	way से ही 
ok ... wht are the good in this movie	तीखे ... क्या अच्छाई है इस movie में ? 
Human boxers were being replaced by robots in the year 2020	Human boxers के बदले में robots आएंगे 2020 में 
ok ... so is interaction between robos will be shown .. or how it is ?	ठीक है ... तो robots के बीच में interaction होगा ... यह कैसे होगा ? 
you know what entails in some sports , a fight was rigged	पता है क्या मिलते हैं कुछ sports में , fight tho rigged होगा 
this made charlie go into debt which could not pay	यह Charlie को debt में डालेगा और वह पे नहीं कर पायेगा 
ok ... will he be able to manage to pay his debt at the edn ?	ok ... क्या वो अपना debt चुकाने मंहगे करेगा ? 
end ?	end ? 
the movie makes use of skills in blending people and computer made imaginary things into a lively story	Movie makers इंसान और computer को मिलाके imaginary things करते कई lively story में 
quite intresting ...	काफी INTERESTING हैं 
nope he is indebted and that's it	नहीं , वह INDEBTED हैं , बस 
oh ... k	अच्छा oak 
the movie has cinescore of A	CINESCORE ने IS MOVIE को आई दिया 
but metacritic is kinda low at 56/100	लेकिन METACRITIC ने तो लो RATE यानी 56/100 दिया 
ok ... i heard twin cities also showed in this movie	अच्छा .. में TWIN CITIES के बारे में सुना हूँ IS MOVIE में भी SHOW किये हैं 
and rotten tomatoes gave it a 59 %	और ROTTEN TOMATOES ने 59 % दिया 
ok ...	अच्छा 
I would recommend you go see it anytime you are free	मैं जरूर RECOMMEND करूंगा , अगर आप FREE होते तो जरूर देखियेगा 
thanks for the info ..	THANKS IS INFO के लिए 
it is totally fiction though	यह तो totally fiction हैं 
catch you later dear friend	फिर मिलेंगे मेरे friend 
hey partner	है साथी 
hey partner	है साथी 
hey	है 
I like the movie , about about you ?	मुझे movie पसंद है , आपका क्या ख्याल है ? 
hi	है 
Hi	नमस्ते 
Hi	नमस्ते 
Have you seen the movie mean girls ?	क्या आपने mean girls movie देखी है ? 
we are supposed to speak about " MEAN GIRLS " ?	हम " Mean girls " के बारे में बोलने वाले हैं ? 
yes	हां 
Yes me too	हाँ मैं भी 
It s comedy and a fun romance	यह comedy और fun romance है 
yeap	हां 
It was highly praised by the critics	Critics द्वारा इसकी बहुत प्रशंसा की गई 
yeap , but in my opinion	हां , लेकिन मेरी राय में 
It was named the fifty greatest teen comedies	इस पचास सबसे बड़े kishor comedies का नाम दिया गया था . 
My favorite part was the girls hating on each other	मेरा पसंदीदा हिस्सा लड़कियों को एक-दूसरे से हटे करना था 
it is too much viewed	यह बहुत ज्यादा देखा गया है 
I liked it too	मुझे भी पसंद है 
^ ^	^ ^ 
Rotten tomatoes gave it 84 percent so it seems it could have been hated and liked as well	Rotten tomatoes ने इसे 84 pratishat दिया ताकि ऐसा लगता है कि यह नफरत हो सकता था और पसंद भी किया जा सकता था 
but too many movies like it are made	लेकिन बहुत see movies ऐसे ही बनते हैं 
even if it is correct	भले ही वह सही हो 
I think Lindsey Lohan who plays candy is a good actress in this	मुझे लगता है कि candy character वाले lindsey लोहान इसमें एक अच्छी abhinetree हैं 
Do you often watch this kind of mov ie ?	क्या आप अक्सर इस तरह की movie देखते हैं ? 
Mean girls is similar to most favorite teen shows . Rachael madams iplays Regina George	Mean लड़ीकियां तो same जिसे तीन shows जिसे hi . Rachael madams acting किये Regina George . 
exactly	सही 
Amanda seyfriend plays Karen he role was more quiet	Amanda का friend करें acting किया था , उसका role तो बहुत quiet है 
that is what I think	visa भी मैने भी सोचा है 
What ’ s interesting is this was a non fiction book	ई तो interesting है , non fiction book जिसे 
It got a score of 66/100 which is not wonderful either	इसका score तो 66/100 , उतना ज्यादा wonderful नहीं है 
that is the mark I would have given	मैने भी उतना marks देदूंगी 
The burn book was an interesting concept	burn book तो बहुत interesting concept है 
The cinema score was a a -	वह cinema score तो a a - 
Hello	hello 
hi	है 
The imitation game is a great movie	Imitation game तो बढ़िया movie हैं 
Have you seen this movie ?	क्या तुमने यह movie देखी है ? 
Yes , I have .	हां , मैंने देखी है 
I really enjoyed it . I love revenge movies	मैंने really enjoy किया . मुझे revenge movies पसंद है . 
I as well , hitman movies are the best !	मुझे भी , हितमें movies best होती है 
Yes ! And Keanu Reeves did such a great job	हाँ ! और केहनुए Reeves ने बहुत कमाल का काम किया है 
He always delivers ! This movie had such an authentic B movie feel to it !	वह हमेशा deliver करता है ! Is movie me ऐसा authentic B movie feel था 
Yeah ! I loved it	हाँ ! मुझे बहुत पसंद आया . 
I felt crushed when they killed his puppy though	लेकिन जब उसकी puppy को मारा तब मुझे काफी दुख हुआ . 
IKR ! Very violent film , destroyed a lot of stuff - how many black SUV's were trashed during the filming of this movie ?	IKR ! बहुत violent film , काफी सामान destroy कर दिए , इस movie की filming में कितने black SUV को कबाड़ कर दिए ? 
HAHAHA ! oh my god . SO TRUE ! the infamous black SUV	HAHAHA ! oh my god . सही में ! Infamous black SUV 
I had totally forgotten that John Leuizamo was in this movie , he is like the ninja actor that shows up when you least expect it !	मुझे तो बिल्कुल याद नहीं कि जॉन लीज़ामों उस movie में हैं , वह तो ninja actor की तरह हैं सभी showsup करते 
Oh yeah ! That's right . So many great actors in this movie	हाँ सच हैं यार , काफी अछे actors भी हैं इन movie में 
And they all looked so cool in their mafia suits	और वो सब cool लगते उस mafia suits में 
The movie has such an authentic criminal world feel to it . ( cough cough ) not that I would know what the criminal underworld looks like	उस movie में तो ऐसे authentic criminal दुनिया क तरह feel हो रहा था .. cough करते करते मुझे तो underworld criminal की तरह देख लगा था 
hahaha uh oh	ha है तो 
oh and the Mustang was SICK !	oh mustang sick हैं क्या 
The scene where the bad guy realizes that they just pissed off wick - priceless	is scene में बदगुई उस wick priceless पर pissed किया जो उन्हें अब realize हो रहा हैं 
I looooove mustangs	मुझे तो mustangs बहुत पसंद है यार 
great selection of vehicles for the movie	इस movie के लिए इस गाडी अछे selection हैं 
when a great assassain gets back into the business for revenge , ya'd better watch out ! lol	अगर assassain ने उस business के लिए revenge लगा और getback होगा तो .. मैं जरूर watch करूँगा 
hahah you know it !	hahah तुम जानते हो 
it was a really fun movie	वह सही में बहुत मजेदार movie थी 
all behind a puppy !	सब एक puppy के पीछे ! 
I would do the same for my dog in a heartbeat !	मैं भी same है कर्ता अपने dog के लिए एक heartbeat में 
extremely rare gem of a film	बिल्कुल rare gem movie है 
Who was that lady assassain in the nightclub ? Extremely beautiful	वह nightclub में lady assassin कौन थी ? बेहद beautiful . 
Yeah , I'm surprised it only received a B rating on Rotten Tomatoes	हाँ , मैं surprised हो आइए बस भी rating मिली है Rotten Tomatoes प 
kept rewinding her scenes ! Great actress	उसके scenes rewind करता रहा , बढ़िया actress 
Ms . Perkins ?	Ms . Perkins ? 
You know , sometimes the critics get it right and other times we just gotta judge for ourselves !	You know , कभी कभी critics लोग सही रहते हैं कभी हम खुद से judge करना पड़ता है . 
That's her !	ये तो वो है ! 
Yeah I never really trust ratings . We all have different tastes . It's all subjective	हाँ मैं कभी ratings को trust नहीं करता . हम सब की different tastes है . सब subjective है . 
That's Adrianne Palicki	वह Adrianne Palicki है 
Yes ! I know her from other stuff , but she was too good in this movie . A great actress always makes you forget your watching a movie !	हाँ ! मैं उसे दूसरी movies से जानता हूँ but is movie में भी वह अच्छी थी . एक great actress हमेशा तुम्हें भुला देगी कि तुम movie देख रही हूँ 
yeah she was a great character !	हां वो एक बढ़िया character थी 
Up uuuuuuntil she died . She broke the rules ... and rules are rules ... lol	जब तक वह मेरी नहीं . उसने rule तोड़ , और rule तो rule होता है lol 
That last fistfight though !	लेकिन वह last fistfight ! 
What do you think , better than Neo vs Agent smith ?	तुम्हें क्या लगता है , न्यू व Agent smith से better थी ? 
Wick went through the henchmen , and I was shocked when wick allowed himself to get stabbed ! I literally said aloud " What are you doing ? "	Wick एक एक करके गुंडों के पार जड़ा था , और मैं shock होगया जब उसने अपने आप को stab होने दिया ! मैं literally चिल्लाया " क्या कर रहे हो " ? 
Then I said " Oh , I see now ! " lol	फिर मैं कहा " oh अब समझ आया " lol 
I liked the final fight scene in Wick better than the matrix Just my opinion .	मुझे आखिरी fight scene matrix से wick का अच्छा लगा 
and of course , at the end , wick gets a new puppy	आखिर में wick को नया puppy मिल गया 
what happens if the mailman accidentally maces ' wicks ' new dog ? lol	क्या होता अगर mailman accidentally maces ' wick ' नया नया कूट ? haha 
haha sorry my internet got glitchy for second	Haha माफ करना internet second के लिए glitchy हो गया 
but yeah ! haha pretty funny	पर yeah ! Haha थोड़ा funny 
Hello ! do you like comedy , adventure , and animation movies ?	Hello ! क्या तुम्हें comedy , adventure , और animation movie अछी लगती हैं ? 
Yes I like all of those genres . What do you think about the rating of this movie ?	हाँ , मुझे वह genres अच्छे लगते हैं . तुम्हें इस movie की ratings के बारे में क्या लगता है ? 
i think the ratings are good . Rotten tomatoes gave it an 89 % and cinemascore gave it an A +	मुझे लगता है ratings अच्छी हैं . Rotten tomatoes ने 89 % दिया है , और cinemascore ने A + दिया है . 
Yes same here . It was very popular kids all wanted frozen themed everything . the story line was different from other Princess movies	हाँ आपके जैसा . यह बहुत लोकप्रिय था बच्चे सब कुछ जमे हुए themes चाहते थे . कहानी की रेखा अन्य raajakumaaree philmon से अलग थी 
yes , i thought it was a great disney movie with very cute characters	हाँ , मुझे लगा कि यह बहुत ही प्यारी kiradaar वाली एक बेहतरीन film थी 
What do you think about the cast ? Kristen bell is one of my faves .	आप कलाकारों के बारे में क्या सोचते हैं ? kristan बल मेरे फेवर में से एक है . 
i think the cast is great with idina menzel who has a beautiful voice	मुझे लगता है की काश्त आइडिया मनजेल के साथ बहुत अच्छी है , जिसके पास एक खूबसूरत आवाज है 
She was great , very distinctive voice . I think olof was the funniest .	वह महान , बहुत विशिष्ट आवाज थी . मुझे लगता है कि ओलोफ सबसे मजेदार था . 
i was very impressed with the animation and how pretty the whole movie was	में eneemeshan से बहुत प्रभावित था और पूरी film कितनी सुंदर थी 
The art was very nice , especially the ice castle scene .	कला बहुत अच्छे थे , विशेष रूप से बर्फ महल दर्शाया . 
it was in 3d . do you watch movies in 3d or 2d usually ?	यह 3 डी में ता . क्या आप आमतौर पर 3 डी या 2 डी में filmed देखते हैं ? 
When i can catch the movies in 3d i try to watch them . It's a different experience but can easily ruin a movie . What do you think	जब मैं 3 डी में philmon को पकड़ सकता हूं तो मैं उन्हें देखने की कोशिश करता हूँ . या एक अलग अनुभव है लेकिन आसानी से एक film को बर्बाद कर सकता है . तुम क्या सोचते हो 
i agree . it depends on the movie and the seats too	मैं सहमत हूँ . यह film और सीटों पर भी निर्भर करता है 
i thought it was sad when the parents died at sea	मुझे तो sad लगा जब उसका parents सिया में मर गए थे . 
I like the rock family they were cute .	मुझे वह rock family बहुत पसंद हैं , वो cute हैं 
Do you think it will end up on B roadway ?	क्या आप सोच रहे कि ये भी roadway में end होगा ? 
i think it will . the songs were so catchy	हाँ मुझे लग रहा हैं कि यह जरूर होगा . और उस songs तो बहुत catchy हैं 
I like that the hero in the movie is Elsas younger sister and not the typical prince .	मुझे वो hero को पसंद हैं , वह तो Elsas का छोटी बहन हैं typical prince की जैसी बिल्कुल नहीं हैं 
me too . I like that it was about family and sisters too .	मुझे भी . मुझे भी पसंद हैं , क्यों कि वह तो family और sisters के बारे में हैं . 
Same here and being that I have two i could relate to how they felt about each other .	हाँ यार , मुझे भी दो बहन हैं , मैं उसे relate कर सकती हूं . 
i argree . i did not like Hans	मैं मानता हूँ . मुझे भी हंस पसंद नहीं हैं 
who was your favorite character ?	is में आपका favorite character कौन हैं ? 
He was horribe , i did not like how he tried to make Ana the villain . But i did appreciate Kristoff and how helpful he was .	वह तो horrible हैं , और मुझे उसको पसंद नहीं हैं क्यूँ की वो आना को villain बनाने में व्यस्त हो रहा था . लेकिन में Kristoff को भी appreciate करूंगा वह कितना helpful था . 
My favorite character was olof . How about you ?	मेरा पसंदीदा चरित्र ओलफ ता . आप कैसे हैं ? 
i liked anna . she was precious	मुझे अन्न पसंद था . वह अनमोल थी 
did you like the ending	क्या आपको अंत पसंद आया 
What were your thoughts about the scene when Hans locked up elsa in that room .	उस दृश्य के बारे में आपके क्या विचार थे जब हंस ने उस कमरे में elsa को बंद कर दिया था . 
it was scary . i was surprised since she liked hans so much at the start	यह भयानक था . मैं हैरान था क्योंकि वह शुरू में इतना हंस पसंद करते थे 
Yes i loved the ending , i liked that the town saw that Elsa was not as bad as Hans made her to be , and that Kristoff and ana ended up together	हाँ , मुझे अंत पसंद आया , मुझे यह पसंद आया कि शहर ने देखा कि एलिसा उतना बुरा नहीं था जितना हंस ने उसे बनाया था , और यह कि kristoph और आना एक साथ समाप्त हो गए थे 
me too .	मैं भी . 
He was a character the deception was great	वह एक ऐसा चरित्र था जिसमें धोखेबाज महान थे 
Hi . Just looking at this now .	हुई . Just इसको देख रहा था अभी . 
Hola , ando leyendo	ओला , अंधों लेंडो 
Who played Hawkeye ?	हौके किसने खेला ? 
hey let me remember that	है let मैं याद करने दो उसको 
What role did Robert Downey Jr play ?	Robert Downey जार ने कौन सा role किया था ? 
Ok , so I am looking for Robert Downey Jr . ' s role and who played Hawkeye . Do you know ?	Ok , so I am looking for Robert Downey Jr . ' s role and who played Hawkeye . आप जानते हैं क्या ? ? 
is one of the main characters of the plot	वह plot के में characters में से एक है . 
Do you know who wrote and directed ' The Avengers ? '	' The Avengers ? ' किसने लिखी और direct की है आप जानते हैं क्या ? 
Stan Lee and Jack Kirby	स्टैन ली और Jack Kirby 
Joss Whedon	Joss Whedon 
The publisher Marvel Comics	उसका publisher Marvel Comics 
oh !	oh ! 
Do you know the Rotten Tomatoes score ?	तुम्हें उसका Rotten Tomatoes score पता है ? 
no , tell me about that	नहीं , मुझे बताओ उसके बारे में 
tell me that you know about this movie	यह बताओ कि तुम्हें इस movie के बारे में पता है 
92 % with an average of 8/ 10 interesting	92 % और average rating 8/ 10 काफी interesting 
Do you know who Thor's brother is in this film ?	तुम्हें पता है तोड़ का भाई कौन है is film me ? 
really no , i dont know tell me that	नहीं , I dont know , मुझे बताओ 
Loki . The team of Captain America , The Hulk , and Thor , along with Iron Man are trying to stop Loki .	Captain America , The Hulk , और तोड़ की team Iron मान से मिलकर Loki को रोकने की कोशिश कर रहे हैं . 
you here ?	सुन रहे हो ? 
Mark Ruffalo played the Hulk . Did yo know that ?	Mark Ruffallo ने Hulk का character किया था . तुम्हें पता था ? 
ah , I understand it's quite complex and the three main characters have a mission	हाँ , मुझे पता है कि काफी complex है और तीन में characters का एक mission है . 
I liked the movie because of the mission you mention . Did you like it ?	मुझे movie उस mission की वजह से अछी लगी . तुम्हें अछि लगी ? 
I'm just reading about it	मैं तो बस उसके बारे में पढ़ रहा हूँ . 
Ok	Okay . 
I'm really interesting and it's a classic	मुझे बहुत interesting लग रहा है और एक classic भी है . 
I guess a wormhole opened to let Loki through to the Earth .	मुझे लगता है कि एक wormhole खुल गया और उसके ज़रिये Loki Earth पे आ गया . 
The wormhole is called aTesseract . That's hard to say and spell .	उस wormhole को Tesseract कहते हैं . बोलने और spell करना काफी मुश्किल है . 
that hole that he found was quite exciting	जो hole use मिले वो काफी exciting था 
A movie critic said the the Hulk was played like he was a reservoir of calm but then became a Volcano . I agree .	एक movie critic ने का Hulk ऐसे play किया जैसे वह शान्ति का reservoir था but फिर Volcano बन गया . में agree करता हूँ . 
143 minutes for a movie is long these days	143 minute एक movie के लिए आजकल बहुत लंबा है . 
are you there and reading the document . Tell me about your impression of how long the movie is please	क्या तुम वहाँ हो और document पढ़ रहे हो ? इस movie की लंबाई के बारे में अपनी impression बातों 
i understand	मैं समझता हूँ 
why let chat	क्यों चल chat करते हैं 
just i lose my conexion	मेरे connection चल गया 
Hello	नमस्ते 
have you ever seen this movie	क्या तुमने कभी यह movie देखी है 
hello	नमस्ते 
I don't think that I have	मुझे नहीं लगता मेरे पास हैं वो 
have you ?	क्या तुम्हारे पास है ? 
No . i vaguely remember a book tho like from school time ?	नहीं , मुझे vaguely याद आरहा है एक book school time का ? 
I do too ! !	मुझे भी ! ! 
I thought it was a movie back then , so maybe this is a remake of that	मुझे लगता था वो एक movie है तब , तो यह उसका remake होगा . 
I think so too because I saw 2013 and was like ummmm I thought it was older than that .	मुझे भी यही लग रहा है क्योंकि मैंने देखा है like um i सोचता हूँ कि यह उसे पुराना था 
I do like Leonardo DiCaprio though , so I should watch it !	मुझे भी Leonardo DiCaprio पसंद है , तो मुझे यह देखना चाहिए ! 
oh yeah , i see them mention the book in the document which is really old	हाँ , मैं देख सकता हूँ वह उसमें एक book के बारे में mention कर रहे हैं जो काफी पुरानी है 
He sure is in a lot of movies	वह वाकई में काफी सारी movies में है 
ya he is !	यह वह है तू ! 
